network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_2d,20260522,308577_304377,0.000000,0.001009,0.946557,0.945548,0,0
nnunet_2d,20260522,313120_310061,0.000000,-0.000169,0.964338,0.964506,0,0
nnunet_2d,20260522,403339_402475,0.006824,0.006793,0.946474,0.939681,851,1
nnunet_2d,20260522,404717_401091,0.000000,-0.000476,0.955846,0.956322,0,0
nnunet_2d,20260522,403390_402127,0.000000,0.000047,0.961739,0.961692,0,0
nnunet_2d,20260522,404728_401086,0.000000,0.005162,0.927782,0.922620,0,0
nnunet_2d,20260522,405948_400388,0.000000,0.000660,0.936033,0.935374,0,0
nnunet_2d,20260522,501877_500337,0.032303,0.033391,0.933828,0.900437,3186,1
nnunet_2d_condlr,20260522,133140_114338,0.000000,0.000052,0.960103,0.960051,0,0
nnunet_2d_condlr,20260522,136518_122095,0.000000,-0.000032,0.969760,0.969792,0,0
nnunet_2d_condlr,20260522,136032_122089,0.000000,0.000021,0.963209,0.963188,0,0
nnunet_2d_condlr,20260522,136514_122984,0.000000,-0.000019,0.966913,0.966932,0,0
nnunet_2d_condlr,20260522,146478_111610,0.000000,0.000008,0.955893,0.955884,0,0
nnunet_2d_condlr,20260522,156052000030695,0.000000,-0.000543,0.974622,0.975165,0,0
nnunet_2d_condlr,20260522,156052000030703,0.000000,0.000072,0.976863,0.976791,0,0
nnunet_2d_condlr,20260522,156052000036762,0.000000,0.001182,0.900780,0.899598,0,0
nnunet_2d_condlr,20260522,156052000036792,0.513987,0.512015,0.977400,0.465385,21424,1
nnunet_2d_condlr,20260522,156052000037111,0.000000,-0.000864,0.956781,0.957645,0,0
nnunet_2d_condlr,20260522,156052000037130,0.000000,-0.000059,0.978997,0.979056,0,0
nnunet_2d_condlr,20260522,156052000036803,0.000000,0.000013,0.978388,0.978375,0,0
nnunet_2d_condlr,20260522,156052000037131,0.000000,0.000017,0.983961,0.983944,0,0
nnunet_2d_condlr,20260522,156052000037132,0.000000,0.000454,0.962931,0.962477,0,0
nnunet_2d_condlr,20260522,156052000037134,0.000000,-0.000201,0.971288,0.971489,0,0
nnunet_2d_condlr,20260522,156052000037142,0.048417,0.048330,0.980366,0.932036,3015,1
nnunet_2d_condlr,20260522,156052000037184,0.000000,-0.000053,0.974482,0.974535,0,0
nnunet_2d_condlr,20260522,156052000037201,0.000000,0.000814,0.973892,0.973078,0,0
nnunet_2d_condlr,20260522,156052000037636,0.000000,0.000018,0.981589,0.981570,0,0
nnunet_2d_condlr,20260522,156052000037404,0.000000,0.000173,0.956780,0.956607,0,0
nnunet_2d_condlr,20260522,156052000037670,0.000000,-0.000083,0.970530,0.970613,0,0
nnunet_2d_condlr,20260522,156052000037691,0.000000,-0.000028,0.973959,0.973987,0,0
nnunet_2d_condlr,20260522,156202411000033,0.000000,0.000040,0.972467,0.972427,0,0
nnunet_2d_condlr,20260522,156202411000574,0.000000,0.000108,0.981317,0.981209,0,0
nnunet_2d_condlr,20260522,205870_202923,0.000000,-0.000095,0.974856,0.974951,0,0
nnunet_2d_condlr,20260522,206178_202851,0.000000,0.000012,0.970625,0.970613,0,0
nnunet_2d_condlr,20260522,207541_202151,0.000000,-0.000032,0.963778,0.963809,0,0
nnunet_2d_condlr,20260522,207633_204331,0.000000,-0.000013,0.974336,0.974349,0,0
nnunet_2d_condlr,20260522,305810_305052,0.000000,-0.000037,0.959505,0.959542,0,0
nnunet_2d_condlr,20260522,308495_301122,0.003220,0.003512,0.957917,0.954406,303,1
nnunet_2d_condlr,20260522,308240_310625,0.000000,0.000175,0.953095,0.952920,0,0
nnunet_2d_condlr,20260522,308577_304377,0.000000,0.000999,0.942865,0.941866,0,0
nnunet_2d_condlr,20260522,313120_310061,0.000000,-0.000224,0.956887,0.957110,0,0
nnunet_2d_condlr,20260522,403339_402475,0.000000,0.000307,0.938031,0.937724,0,0
nnunet_2d_condlr,20260522,403390_402127,0.000000,0.000047,0.964048,0.964001,0,0
nnunet_2d_condlr,20260522,404717_401091,0.000000,-0.000451,0.942281,0.942731,0,0
nnunet_2d_condlr,20260522,404728_401086,0.000000,0.006798,0.920547,0.913749,0,0
nnunet_2d_condlr,20260522,405948_400388,0.000000,0.001988,0.919872,0.917884,0,0
nnunet_2d_condlr,20260522,501877_500337,0.000000,-0.000035,0.938339,0.938374,0,0
