network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
swinunetr,20260522,404717_401091,0.000000,-0.000551,0.947173,0.947724,0,0
swinunetr,20260522,501877_500337,0.000568,0.000744,0.920433,0.919689,56,1
segformer3d,20260520,133140_114338,0.000000,0.000015,0.938725,0.938709,0,0
segformer3d,20260520,146478_111610,0.000000,-0.000176,0.945821,0.945998,0,0
segformer3d,20260520,136518_122095,0.175221,0.173890,0.941728,0.767838,22937,1
segformer3d,20260520,156052000036762,0.000000,-0.000151,0.908460,0.908611,0,0
segformer3d,20260520,136514_122984,0.000000,-0.000040,0.941899,0.941938,0,0
segformer3d,20260520,136032_122089,0.000000,0.000200,0.938466,0.938265,0,0
segformer3d,20260520,156052000030695,0.177084,0.188592,0.938871,0.750279,7018,1
segformer3d,20260520,156052000030703,0.000000,-0.000027,0.914182,0.914209,0,0
segformer3d,20260520,156052000036792,0.053236,0.050730,0.931619,0.880889,2219,1
segformer3d,20260520,156052000037111,0.000000,0.000240,0.920965,0.920726,0,0
segformer3d,20260520,156052000036803,0.000000,0.000003,0.959216,0.959212,0,0
segformer3d,20260520,156052000037130,0.000000,0.000001,0.952513,0.952512,0,0
segformer3d,20260520,156052000037131,0.001356,0.001556,0.955614,0.954058,65,1
segformer3d,20260520,156052000037132,0.000000,0.000171,0.858313,0.858142,0,0
segformer3d,20260520,156052000037142,0.039457,0.038332,0.938259,0.899927,2457,1
segformer3d,20260520,156052000037134,0.000000,0.000020,0.909451,0.909431,0,0
segformer3d,20260520,156052000037184,0.000025,-0.000230,0.934323,0.934553,1,1
segformer3d,20260520,156052000037201,0.055611,0.054580,0.921955,0.867375,3218,1
segformer3d,20260520,156052000037404,0.010010,0.010731,0.903465,0.892734,463,1
segformer3d,20260520,156052000037636,0.170024,0.168576,0.947988,0.779412,9681,1
segformer3d,20260520,156052000037670,0.034777,0.034013,0.951020,0.917006,1521,1
segformer3d,20260520,156202411000033,0.000000,-0.000026,0.931964,0.931990,0,0
segformer3d,20260520,156052000037691,0.000000,0.000042,0.940547,0.940505,0,0
segformer3d,20260520,156202411000574,0.000000,0.000217,0.949145,0.948928,0,0
segformer3d,20260520,206178_202851,0.000000,-0.000140,0.941459,0.941599,0,0
segformer3d,20260520,205870_202923,0.000000,-0.000364,0.946829,0.947193,0,0
segformer3d,20260520,207633_204331,0.000000,0.000053,0.940702,0.940649,0,0
